infected_nodes,name,nb,selected,shared name
-1,209,0.024982762,FALSE,209
-1,138,0.041784454,FALSE,138
11,78,0.023849917,FALSE,78
10,105,0.082002641,FALSE,105
9,37,0.018725072,FALSE,37
10,230,0.030384192,FALSE,230
-1,157,0.030384192,FALSE,157
4,291,0.0737618,FALSE,291
8,111,0.082085549,FALSE,111
9,53,0.045985329,FALSE,53
10,173,0.060663567,FALSE,173
9,11,0.086567192,FALSE,11
9,326,0.057862721,FALSE,326
8,361,0.081930211,FALSE,361
-1,283,0.071910482,FALSE,283
-1,344,0.029210164,FALSE,344
7,187,0.095956871,FALSE,187
-1,6,0.047995365,FALSE,6
6,333,0.066682931,FALSE,333
10,205,0.075106699,FALSE,205
8,116,0.098659925,FALSE,116
12,280,0.09352446,FALSE,280
6,260,0.162809788,FALSE,260
4,168,0.171264036,FALSE,168
6,75,0.177144018,FALSE,75
6,295,0.087567365,FALSE,295
8,278,0.083318601,FALSE,278
7,69,0.167071851,FALSE,69
8,272,0.075722684,FALSE,272
8,115,0.102583097,FALSE,115
8,31,0.140278187,FALSE,31
7,252,0.101978282,FALSE,252
-1,306,0.057861337,FALSE,306
8,273,0.057861337,FALSE,273
8,197,0.057861337,FALSE,197
7,124,0.077945191,FALSE,124
8,25,0.118476017,FALSE,25
10,43,0.096696047,FALSE,43
8,41,0.112513587,FALSE,41
-1,370,0.051338413,FALSE,370
-1,369,0.051338413,FALSE,369
-1,218,0.085943522,FALSE,218
7,33,0.201755413,FALSE,33
9,102,0.113749645,FALSE,102
9,219,0.101642575,FALSE,219
8,234,0.095846525,FALSE,234
9,232,0.096673361,FALSE,232
10,327,0.104752509,FALSE,327
10,316,0.092197585,FALSE,316
7,309,0.114464478,FALSE,309
5,256,0.072512614,FALSE,256
-1,300,0.116071423,FALSE,300
5,62,0.09929627,FALSE,62
13,161,0.066218506,FALSE,161
8,82,0.175872236,FALSE,82
8,58,0.136664663,FALSE,58
9,212,0.136865113,FALSE,212
10,155,0.156176227,FALSE,155
4,345,0.053591276,FALSE,345
8,263,0.128841906,FALSE,263
8,285,0.085886615,FALSE,285
10,56,0.075740936,FALSE,56
9,277,0.061154116,FALSE,277
9,368,0.133394991,FALSE,368
6,235,0.089276312,FALSE,235
10,165,0.145373134,FALSE,165
8,294,0.109656745,FALSE,294
6,188,0.084918732,FALSE,188
8,90,0.051605225,FALSE,90
4,359,0.065880168,FALSE,359
4,305,0.047748414,FALSE,305
9,128,0.17153876,FALSE,128
7,319,0.060429709,FALSE,319
-1,281,0.020296218,FALSE,281
8,215,0.125468599,FALSE,215
10,242,0.089896541,FALSE,242
