,edges,infection_time
0,2.0 (interacts with) 1.0,10
1,2.0 (interacts with) 214.0,-1
2,1.0 (interacts with) 3.0,10
3,1.0 (interacts with) 131.0,-1
4,1.0 (interacts with) 49.0,10
5,1.0 (interacts with) 118.0,-1
6,1.0 (interacts with) 64.0,10
7,1.0 (interacts with) 137.0,-1
8,1.0 (interacts with) 83.0,9
9,1.0 (interacts with) 89.0,-1
10,1.0 (interacts with) 298.0,10
11,214.0 (interacts with) 126.0,6
12,214.0 (interacts with) 238.0,-1
13,214.0 (interacts with) 261.0,-1
14,214.0 (interacts with) 27.0,-1
15,214.0 (interacts with) 217.0,-1
16,214.0 (interacts with) 226.0,-1
17,214.0 (interacts with) 350.0,-1
18,214.0 (interacts with) 360.0,7
19,214.0 (interacts with) 318.0,-1
20,214.0 (interacts with) 89.0,7
21,214.0 (interacts with) 77.0,-1
22,3.0 (interacts with) 213.0,11
23,131.0 (interacts with) 130.0,8
24,131.0 (interacts with) 133.0,-1
25,131.0 (interacts with) 134.0,-1
26,131.0 (interacts with) 136.0,7
27,131.0 (interacts with) 268.0,-1
28,131.0 (interacts with) 145.0,-1
29,131.0 (interacts with) 216.0,8
30,131.0 (interacts with) 49.0,-1
31,131.0 (interacts with) 119.0,7
32,131.0 (interacts with) 321.0,-1
33,131.0 (interacts with) 225.0,-1
34,49.0 (interacts with) 208.0,11
35,49.0 (interacts with) 48.0,11
36,49.0 (interacts with) 183.0,11
37,49.0 (interacts with) 226.0,11
38,49.0 (interacts with) 151.0,-1
39,118.0 (interacts with) 119.0,7
40,118.0 (interacts with) 246.0,-1
41,64.0 (interacts with) 8.0,-1
42,64.0 (interacts with) 133.0,-1
43,137.0 (interacts with) 8.0,9
44,137.0 (interacts with) 343.0,-1
45,137.0 (interacts with) 275.0,9
46,83.0 (interacts with) 236.0,9
47,83.0 (interacts with) 193.0,-1
48,83.0 (interacts with) 29.0,9
49,83.0 (interacts with) 28.0,9
50,83.0 (interacts with) 117.0,9
51,83.0 (interacts with) 71.0,-1
52,83.0 (interacts with) 89.0,8
53,83.0 (interacts with) 206.0,9
54,89.0 (interacts with) 301.0,-1
55,89.0 (interacts with) 84.0,-1
56,89.0 (interacts with) 85.0,8
57,89.0 (interacts with) 87.0,8
58,298.0 (interacts with) 45.0,-1
59,298.0 (interacts with) 245.0,10
60,298.0 (interacts with) 183.0,11
61,213.0 (interacts with) 220.0,11
62,213.0 (interacts with) 110.0,-1
63,213.0 (interacts with) 149.0,12
64,213.0 (interacts with) 184.0,-1
65,4.0 (interacts with) 5.0,-1
66,4.0 (interacts with) 15.0,-1
67,4.0 (interacts with) 61.0,-1
68,4.0 (interacts with) 146.0,0
69,4.0 (interacts with) 152.0,-1
70,4.0 (interacts with) 153.0,-1
71,4.0 (interacts with) 164.0,-1
72,4.0 (interacts with) 249.0,-1
73,4.0 (interacts with) 274.0,0
74,4.0 (interacts with) 323.0,0
75,4.0 (interacts with) 330.0,0
76,4.0 (interacts with) 371.0,-1
77,4.0 (interacts with) 374.0,-1
78,4.0 (interacts with) 20.0,0
79,4.0 (interacts with) 297.0,-1
80,4.0 (interacts with) 192.0,0
81,4.0 (interacts with) 328.0,-1
82,4.0 (interacts with) 376.0,0
83,4.0 (interacts with) 181.0,-1
84,4.0 (interacts with) 311.0,-1
85,4.0 (interacts with) 74.0,-1
86,4.0 (interacts with) 346.0,-1
87,4.0 (interacts with) 36.0,-1
88,4.0 (interacts with) 264.0,-1
89,4.0 (interacts with) 251.0,-1
90,4.0 (interacts with) 141.0,-1
91,4.0 (interacts with) 87.0,-1
92,4.0 (interacts with) 296.0,-1
93,4.0 (interacts with) 147.0,-1
94,4.0 (interacts with) 340.0,0
95,4.0 (interacts with) 378.0,0
96,4.0 (interacts with) 269.0,-1
97,4.0 (interacts with) 332.0,-1
98,4.0 (interacts with) 55.0,0
99,5.0 (interacts with) 176.0,7
100,5.0 (interacts with) 177.0,7
101,5.0 (interacts with) 201.0,-1
102,5.0 (interacts with) 249.0,-1
103,5.0 (interacts with) 254.0,7
104,5.0 (interacts with) 313.0,7
105,5.0 (interacts with) 374.0,-1
106,5.0 (interacts with) 288.0,-1
107,5.0 (interacts with) 336.0,7
108,5.0 (interacts with) 98.0,-1
109,5.0 (interacts with) 222.0,-1
110,5.0 (interacts with) 54.0,-1
111,5.0 (interacts with) 267.0,-1
112,5.0 (interacts with) 156.0,-1
113,5.0 (interacts with) 335.0,7
114,5.0 (interacts with) 217.0,-1
115,5.0 (interacts with) 39.0,7
116,5.0 (interacts with) 139.0,-1
117,5.0 (interacts with) 302.0,-1
118,5.0 (interacts with) 240.0,6
119,5.0 (interacts with) 292.0,7
120,5.0 (interacts with) 104.0,-1
121,5.0 (interacts with) 203.0,-1
122,5.0 (interacts with) 279.0,7
123,5.0 (interacts with) 229.0,-1
124,5.0 (interacts with) 174.0,-1
125,15.0 (interacts with) 13.0,8
126,15.0 (interacts with) 47.0,-1
127,15.0 (interacts with) 177.0,8
128,15.0 (interacts with) 279.0,8
129,15.0 (interacts with) 366.0,-1
130,15.0 (interacts with) 367.0,-1
131,15.0 (interacts with) 262.0,9
132,15.0 (interacts with) 349.0,8
133,15.0 (interacts with) 167.0,-1
134,15.0 (interacts with) 321.0,9
135,15.0 (interacts with) 312.0,-1
136,15.0 (interacts with) 292.0,8
137,15.0 (interacts with) 342.0,9
138,15.0 (interacts with) 377.0,-1
139,15.0 (interacts with) 150.0,9
140,61.0 (interacts with) 166.0,12
141,61.0 (interacts with) 303.0,-1
142,61.0 (interacts with) 314.0,-1
143,146.0 (interacts with) 32.0,1
144,146.0 (interacts with) 303.0,1
145,153.0 (interacts with) 67.0,-1
146,153.0 (interacts with) 42.0,-1
147,164.0 (interacts with) 303.0,-1
148,164.0 (interacts with) 97.0,10
149,164.0 (interacts with) 201.0,-1
150,249.0 (interacts with) 26.0,-1
151,274.0 (interacts with) 303.0,1
152,323.0 (interacts with) 16.0,-1
153,323.0 (interacts with) 45.0,-1
154,323.0 (interacts with) 324.0,-1
155,330.0 (interacts with) 127.0,1
156,330.0 (interacts with) 108.0,-1
157,330.0 (interacts with) 222.0,-1
158,371.0 (interacts with) 16.0,11
