"","infection_time","interaction","name","selected","shared interaction","shared name"
"913","-1","interacts with","138.0 (interacts with) 376.0","false","interacts with","138.0 (interacts with) 376.0"
"906","-1","interacts with","224.0 (interacts with) 333.0","false","interacts with","224.0 (interacts with) 333.0"
"905","-1","interacts with","224.0 (interacts with) 378.0","false","interacts with","224.0 (interacts with) 378.0"
"910","-1","interacts with","378.0 (interacts with) 151.0","false","interacts with","378.0 (interacts with) 151.0"
"887","-1","interacts with","48.0 (interacts with) 120.0","false","interacts with","48.0 (interacts with) 120.0"
"890","-1","interacts with","294.0 (interacts with) 376.0","false","interacts with","294.0 (interacts with) 376.0"
"889","-1","interacts with","294.0 (interacts with) 378.0","false","interacts with","294.0 (interacts with) 378.0"
"888","-1","interacts with","267.0 (interacts with) 361.0","false","interacts with","267.0 (interacts with) 361.0"
"873","-1","interacts with","78.0 (interacts with) 327.0","false","interacts with","78.0 (interacts with) 327.0"
"869","-1","interacts with","38.0 (interacts with) 305.0","false","interacts with","38.0 (interacts with) 305.0"
"868","-1","interacts with","38.0 (interacts with) 304.0","false","interacts with","38.0 (interacts with) 304.0"
"867","-1","interacts with","38.0 (interacts with) 37.0","false","interacts with","38.0 (interacts with) 37.0"
"866","-1","interacts with","346.0 (interacts with) 195.0","false","interacts with","346.0 (interacts with) 195.0"
"862","-1","interacts with","338.0 (interacts with) 339.0","false","interacts with","338.0 (interacts with) 339.0"
"858","-1","interacts with","306.0 (interacts with) 285.0","false","interacts with","306.0 (interacts with) 285.0"
"854","-1","interacts with","163.0 (interacts with) 325.0","false","interacts with","163.0 (interacts with) 325.0"
"897","-1","interacts with","185.0 (interacts with) 187.0","false","interacts with","185.0 (interacts with) 187.0"
"896","-1","interacts with","185.0 (interacts with) 262.0","false","interacts with","185.0 (interacts with) 262.0"
"872","-1","interacts with","174.0 (interacts with) 78.0","false","interacts with","174.0 (interacts with) 78.0"
"871","-1","interacts with","174.0 (interacts with) 318.0","false","interacts with","174.0 (interacts with) 318.0"
"826","-1","interacts with","345.0 (interacts with) 147.0","false","interacts with","345.0 (interacts with) 147.0"
"825","-1","interacts with","228.0 (interacts with) 345.0","false","interacts with","228.0 (interacts with) 345.0"
"824","-1","interacts with","227.0 (interacts with) 209.0","false","interacts with","227.0 (interacts with) 209.0"
"823","-1","interacts with","227.0 (interacts with) 228.0","false","interacts with","227.0 (interacts with) 228.0"
"818","-1","interacts with","54.0 (interacts with) 75.0","false","interacts with","54.0 (interacts with) 75.0"
"817","-1","interacts with","54.0 (interacts with) 117.0","false","interacts with","54.0 (interacts with) 117.0"
"899","-1","interacts with","337.0 (interacts with) 310.0","false","interacts with","337.0 (interacts with) 310.0"
"898","-1","interacts with","337.0 (interacts with) 312.0","false","interacts with","337.0 (interacts with) 312.0"
"814","-1","interacts with","111.0 (interacts with) 110.0","false","interacts with","111.0 (interacts with) 110.0"
"813","-1","interacts with","111.0 (interacts with) 337.0","false","interacts with","111.0 (interacts with) 337.0"
"895","-1","interacts with","302.0 (interacts with) 310.0","false","interacts with","302.0 (interacts with) 310.0"
"894","-1","interacts with","302.0 (interacts with) 336.0","false","interacts with","302.0 (interacts with) 336.0"
"812","-1","interacts with","287.0 (interacts with) 111.0","false","interacts with","287.0 (interacts with) 111.0"
"822","-1","interacts with","360.0 (interacts with) 361.0","false","interacts with","360.0 (interacts with) 361.0"
"821","-1","interacts with","360.0 (interacts with) 304.0","false","interacts with","360.0 (interacts with) 304.0"
"865","-1","interacts with","370.0 (interacts with) 346.0","false","interacts with","370.0 (interacts with) 346.0"
"795","-1","interacts with","369.0 (interacts with) 370.0","false","interacts with","369.0 (interacts with) 370.0"
"891","-1","interacts with","322.0 (interacts with) 185.0","false","interacts with","322.0 (interacts with) 185.0"
"809","-1","interacts with","288.0 (interacts with) 287.0","false","interacts with","288.0 (interacts with) 287.0"
"777","-1","interacts with","289.0 (interacts with) 285.0","false","interacts with","289.0 (interacts with) 285.0"
"776","-1","interacts with","377.0 (interacts with) 213.0","false","interacts with","377.0 (interacts with) 213.0"
"775","-1","interacts with","377.0 (interacts with) 376.0","false","interacts with","377.0 (interacts with) 376.0"
"774","-1","interacts with","20.0 (interacts with) 289.0","false","interacts with","20.0 (interacts with) 289.0"
"773","-1","interacts with","20.0 (interacts with) 377.0","false","interacts with","20.0 (interacts with) 377.0"
"768","-1","interacts with","19.0 (interacts with) 357.0","false","interacts with","19.0 (interacts with) 357.0"
"767","-1","interacts with","19.0 (interacts with) 56.0","false","interacts with","19.0 (interacts with) 56.0"
"766","-1","interacts with","19.0 (interacts with) 208.0","false","interacts with","19.0 (interacts with) 208.0"
"870","-1","interacts with","304.0 (interacts with) 305.0","false","interacts with","304.0 (interacts with) 305.0"
"778","-1","interacts with","279.0 (interacts with) 167.0","false","interacts with","279.0 (interacts with) 167.0"
"762","-1","interacts with","278.0 (interacts with) 279.0","false","interacts with","278.0 (interacts with) 279.0"
"847","-1","interacts with","309.0 (interacts with) 310.0","false","interacts with","309.0 (interacts with) 310.0"
"846","-1","interacts with","309.0 (interacts with) 185.0","false","interacts with","309.0 (interacts with) 185.0"
"845","-1","interacts with","309.0 (interacts with) 53.0","false","interacts with","309.0 (interacts with) 53.0"
"879","-1","interacts with","321.0 (interacts with) 151.0","false","interacts with","321.0 (interacts with) 151.0"
"878","-1","interacts with","321.0 (interacts with) 320.0","false","interacts with","321.0 (interacts with) 320.0"
"886","-1","interacts with","182.0 (interacts with) 294.0","false","interacts with","182.0 (interacts with) 294.0"
"885","-1","interacts with","181.0 (interacts with) 182.0","false","interacts with","181.0 (interacts with) 182.0"
"884","-1","interacts with","74.0 (interacts with) 267.0","false","interacts with","74.0 (interacts with) 267.0"
"744","-1","interacts with","269.0 (interacts with) 272.0","false","interacts with","269.0 (interacts with) 272.0"
"743","-1","interacts with","269.0 (interacts with) 270.0","false","interacts with","269.0 (interacts with) 270.0"
"740","-1","interacts with","342.0 (interacts with) 162.0","false","interacts with","342.0 (interacts with) 162.0"
"739","-1","interacts with","342.0 (interacts with) 316.0","false","interacts with","342.0 (interacts with) 316.0"
"745","-1","interacts with","9.0 (interacts with) 11.0","false","interacts with","9.0 (interacts with) 11.0"
"857","-1","interacts with","251.0 (interacts with) 53.0","false","interacts with","251.0 (interacts with) 53.0"
"827","-1","interacts with","79.0 (interacts with) 77.0","false","interacts with","79.0 (interacts with) 77.0"
"733","-1","interacts with","12.0 (interacts with) 11.0","false","interacts with","12.0 (interacts with) 11.0"
"732","-1","interacts with","12.0 (interacts with) 9.0","false","interacts with","12.0 (interacts with) 9.0"
"727","-1","interacts with","347.0 (interacts with) 251.0","false","interacts with","347.0 (interacts with) 251.0"
"726","-1","interacts with","105.0 (interacts with) 129.0","false","interacts with","105.0 (interacts with) 129.0"
"725","-1","interacts with","105.0 (interacts with) 134.0","false","interacts with","105.0 (interacts with) 134.0"
"724","-1","interacts with","105.0 (interacts with) 79.0","false","interacts with","105.0 (interacts with) 79.0"
"723","-1","interacts with","64.0 (interacts with) 12.0","false","interacts with","64.0 (interacts with) 12.0"
"722","-1","interacts with","64.0 (interacts with) 276.0","false","interacts with","64.0 (interacts with) 276.0"
"721","-1","interacts with","63.0 (interacts with) 10.0","false","interacts with","63.0 (interacts with) 10.0"
"720","-1","interacts with","63.0 (interacts with) 347.0","false","interacts with","63.0 (interacts with) 347.0"
