LS,alphac
0.657170982,1.48
0.333456713,0.92
0.22552631,0.72
0.146835538,0.45
0.132516298,0.46
0.095274307,0.31
0.078096391,0.25
0.072791499,0.26
0.061469351,0.2
0.766533382,1.5
0.874819085,2.25
0.969175384,3.25
1.028393845,3.26
1.047592347,3.56
1.063365914,3.81
1.002504287,3.41
1.027971155,3.28
0.953866779,2.8
0.979835849,2.68
0.899199281,2.16
0.821993985,1.74
0.678581693,1.32
0.772019574,1.34
0.622195044,1.17
0.632879568,1.11
0.613295109,1.05
0.543656285,1
0.523251896,0.92
0.492360087,0.89
0.894137082,2.2
0.67888399,1.3
0.699687577,1.32
0.668220964,1.22
0.686967538,1.39
0.680421893,1.36
0.688964223,1.41
0.719353985,1.62
0.696175226,1.6
0.643564645,1.5
0.870677026,2.48
0.833084836,2.32
0.826175971,2.44
0.837644677,2.5
1.042886942,3.46
1.017851607,3.66
1.14103766,4.34
1.277993174,5.04
1.34381996,5.2
1.413116986,5.35
1.554902414,5.7
1.769003711,6.5
