,network,betac_dmp,betac_mc
0,Assort_p0.1_ca-InterdisPhysics,0.11758861400000001,0.08758861400000001
1,Assort_p0.2_ca-InterdisPhysics,0.10969160800000001,0.089691608
2,Assort_p0.3_ca-InterdisPhysics,0.10637236,0.08637236
3,Assort_p0.4_ca-InterdisPhysics,0.099725356,0.079725356
4,Assort_p0.5_ca-InterdisPhysics,0.095775822,0.085775822
5,Assort_p0.6_ca-InterdisPhysics,0.089846816,0.079846816
6,Assort_p0.7_ca-InterdisPhysics,0.08345981,0.08345981
7,Assort_p0.8_ca-InterdisPhysics,0.082872904,0.082872904
8,Assort_p0.9_ca-InterdisPhysics,0.076812042,0.076812042
9,Assort_p1.0_ca-InterdisPhysics,0.072356901,0.072356901
10,Dissort_p0.1_ca-InterdisPhysics,0.124424323,0.094424323
11,Dissort_p0.2_ca-InterdisPhysics,0.130566011,0.090566011
12,Dissort_p0.3_ca-InterdisPhysics,0.134794828,0.104794828
13,Dissort_p0.4_ca-InterdisPhysics,0.13821947199999998,0.09821947199999997
14,Dissort_p0.5_ca-InterdisPhysics,0.140105489,0.110105489
15,Dissort_p0.6_ca-InterdisPhysics,0.141469081,0.111469081
16,Dissort_p0.7_ca-InterdisPhysics,0.15005939,0.11005938999999998
17,Dissort_p0.8_ca-InterdisPhysics,0.15366375300000001,0.12366375300000002
18,Dissort_p0.9_ca-InterdisPhysics,0.159036867,0.11903686699999999
19,Dissort_p1.0_ca-InterdisPhysics,0.159639424,0.119639424
