,network,N,L,<k>,DMP_betac,LS,alphac_p,alphac_r
7,_powerlaw_3.3_mink_2_p_1.0_dissort.edgelist,100000,138849,2.77698,0.324824146,0.67888399,1.717576496,1.3
4,_powerlaw_3.3_mink_2_p_0.9_dissort.edgelist,100000,138849,2.77698,0.321369499,0.699687577,1.770209569,1.32
18,_powerlaw_3.3_mink_2_p_0.8_dissort.edgelist,100000,138849,2.77698,0.319286748,0.668220964,1.690599039,1.22
1,_powerlaw_3.3_mink_2_p_0.7_dissort.edgelist,100000,138849,2.77698,0.30775748,0.686967538,1.738027871,1.39
11,_powerlaw_3.3_mink_2_p_0.6_dissort.edgelist,100000,138849,2.77698,0.300990081,0.680421893,1.72146739,1.36
16,_powerlaw_3.3_mink_2_p_0.5_dissort.edgelist,100000,138849,2.77698,0.294488436,0.688964223,1.743079485,1.41
2,_powerlaw_3.3_mink_2_p_0.4_dissort.edgelist,100000,138849,2.77698,0.278860748,0.719353985,1.819965583,1.62
15,_powerlaw_3.3_mink_2_p_0.3_dissort.edgelist,100000,138849,2.77698,0.271445527,0.696175226,1.761323321,1.6
6,_powerlaw_3.3_mink_2_p_0.2_dissort.edgelist,100000,138849,2.77698,0.26880494,0.643564645,1.628218553,1.5
13,_powerlaw_3.3_mink_2_p_0.1_dissort.edgelist,100000,138849,2.77698,0.229959843,0.870677026,2.202812875,2.48
8,_powerlaw_3.3_mink_2_p_0.1_assort.edgelist,100000,138849,2.77698,0.226412764,0.833084836,2.107704636,2.32
3,_powerlaw_3.3_mink_2_p_0.2_assort.edgelist,100000,138849,2.77698,0.208744617,0.826175971,2.090225206,2.44
10,_powerlaw_3.3_mink_2_p_0.3_assort.edgelist,100000,138849,2.77698,0.194589736,0.837644677,2.119241034,2.5
12,_powerlaw_3.3_mink_2_p_0.4_assort.edgelist,100000,138849,2.77698,0.16340648,1.042886942,2.638503963,3.46
5,_powerlaw_3.3_mink_2_p_0.5_assort.edgelist,100000,138849,2.77698,0.151888861,1.017851607,2.575164567,3.66
0,_powerlaw_3.3_mink_2_p_0.6_assort.edgelist,100000,138849,2.77698,0.133291096,1.14103766,2.886825281,4.34
9,_powerlaw_3.3_mink_2_p_0.7_assort.edgelist,100000,138849,2.77698,0.116522966,1.277993174,3.23332273,5.04
14,_powerlaw_3.3_mink_2_p_0.8_assort.edgelist,100000,138849,2.77698,0.107041594,1.34381996,3.399864498,5.2
17,_powerlaw_3.3_mink_2_p_0.9_assort.edgelist,100000,138849,2.77698,0.098777578,1.413116986,3.575185976,5.35
19,_powerlaw_3.3_mink_2_p_1.0_assort.edgelist,100000,138849,2.77698,0.088416238,1.554902414,3.933903109,5.7
