,network,N,L,<k>,DMP_betac,MC_betac,LS,alphac_p,alphac_r
14,Dissort_p1.0_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.009908204,0.009908204,0.036199249,0.095204025,0.06
4,Dissort_p0.8_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.009143515,0.009143515,0.039762972,0.104576616,0.07
5,Dissort_p0.6_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.008421128,0.008421128,0.043954429,0.115600148,0.08
12,Dissort_p0.5_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.008070911,0.008070911,0.046294902,0.121755592,0.09
3,Dissort_p0.4_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.007749179,0.007749179,0.048626648,0.127888084,0.09
10,Dissort_p0.3_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.007435624,0.007435624,0.05120436,0.134667467,0.09
9,Dissort_p0.2_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.007162995,0.007162995,0.053573559,0.14089846,0.1
8,Dissort_p0.1_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.006869423,0.006869423,0.056394092,0.148316462,0.11
15,Assort_p0.1_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.006237145,0.006237145,0.063485789,0.166967625,0.12
13,Assort_p0.2_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.005898158,0.005898158,0.067982519,0.178794025,0.13
11,Assort_p0.3_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.005583633,0.005583633,0.072719057,0.19125112,0.13
2,Assort_p0.4_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.00529951,0.00529951,0.077580099,0.20403566,0.14
7,Assort_p0.5_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.005022503,0.005022503,0.082869077,0.217945673,0.15
1,Assort_p0.6_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.004768964,0.004768964,0.088394085,0.232476444,0.16
0,Assort_p0.8_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.004296155,0.004296155,0.100475891,0.264251593,0.18
6,Assort_p1.0_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.00386942,0.00386942,0.114260327,0.30050466,0.19
