,network,N,L,<k>,gamma,r,DMP_betac,LS
0,"Configuration Model (Disassort, p=1)",100000,138849,2.77698,3.3,-0.053982649,0.324824146,0.67888399
1,"Configuration Model (Disassort, p=0.9)",100000,138849,2.77698,3.3,-0.048430133,0.321369499,0.699687577
2,"Configuration Model (Disassort, p=0.8)",100000,138849,2.77698,3.3,-0.043574342,0.319286748,0.668220964
3,"Configuration Model (Disassort, p=0.7)",100000,138849,2.77698,3.3,-0.040015477,0.30775748,0.686967538
4,"Configuration Model (Disassort, p=0.6)",100000,138849,2.77698,3.3,-0.034495298,0.300990081,0.680421893
5,"Configuration Model (Disassort, p=0.5)",100000,138849,2.77698,3.3,-0.031602957,0.294488436,0.688964223
6,"Configuration Model (Disassort, p=0.4)",100000,138849,2.77698,3.3,-0.021308373,0.278860748,0.719353985
7,"Configuration Model (Disassort, p=0.3)",100000,138849,2.77698,3.3,-0.018953582,0.271445527,0.696175226
8,"Configuration Model (Disassort, p=0.2)",100000,138849,2.77698,3.3,-0.015763089,0.26880494,0.643564645
9,"Configuration Model (Disassort, p=0.1)",100000,138849,2.77698,3.3,-0.00427155,0.229959843,0.870677026
10,"Configuration Model (Assort, p=0.1)",100000,138849,2.77698,3.3,0.008762534,0.208744617,0.826175971
11,"Configuration Model (Assort, p=0.2)",100000,138849,2.77698,3.3,0.015950558,0.194589736,0.837644677
13,"Configuration Model (Assort, p=0.3)",100000,138849,2.77698,3.3,0.035064704,0.16340648,1.042886942
5,"Configuration Model (Assort, p=0.4)",100000,138849,2.77698,3.3,0.043450433,0.151888861,1.017851607
0,"Configuration Model (Assort, p=0.5)",100000,138849,2.77698,3.3,0.059617755,0.133291096,1.14103766
10,"Configuration Model (Assort, p=0.6)",100000,138849,2.77698,3.3,0.076857668,0.116522966,1.277993174
16,"Configuration Model (Assort, p=0.7)",100000,138849,2.77698,3.3,0.085952187,0.107041594,1.34381996
19,"Configuration Model (Assort, p=0.8)",100000,138849,2.77698,3.3,0.096604988,0.098777578,1.413116986
21,"Configuration Model (Assort, p=0.9)",100000,138849,2.77698,3.3,0.116952959,0.088416238,1.554902414
15,"Configuration Model (Assort, p=1.0)",100000,138849,2.77698,3.3,0.14100874,0.076973443,1.769003711
