name,network,N,L,<k>,gamma,r,DMP_betac,LS,alphac
100000_1_3.3.edgelist,Configuration model (kmin=1),100000,137836,2.76,3.3,0.0006,0.2677,0.6572,1.48
100000_2_3.3.edgelist,Configuration model (kmin=2),100000,225218,4.5,3.3,-0.0013,0.1353,0.3335,0.92
100000_3_3.3.edgelist,Configuration model (kmin=3),100000,313560,6.27,3.3,-0.0033,0.0876,0.2255,0.72
100000_4_3.3.edgelist,Configuration model (kmin=4),100000,399294,7.99,3.3,-0.0017,0.0717,0.1468,0.45
100000_5_3.3.edgelist,Configuration model (kmin=5),100000,492157,9.84,3.3,-0.003,0.0504,0.1325,0.46
100000_6_3.3.edgelist,Configuration model (kmin=6),100000,577430,11.55,3.3,-0.0025,0.0481,0.0953,0.31
100000_7_3.3.edgelist,Configuration model (kmin=7),100000,660324,13.21,3.3,0.0032,0.0438,0.0781,0.25
100000_8_3.3.edgelist,Configuration model (kmin=8),100000,752652,15.05,3.3,-0.0016,0.0357,0.0728,0.26
100000_9_3.3.edgelist,Configuration model (kmin=9),100000,837560,16.75,3.3,-0.002,0.0334,0.0615,0.2
_powerlaw_3.3_mink_2_p_1.0_dissort.edgelist,"Configuration model (Disassort, p=1)",100000,138849,2.78,3.3,-0.054,0.3248,0.6789,1.3
_powerlaw_3.3_mink_2_p_0.9_dissort.edgelist,"Configuration model (Disassort, p=0.9)",100000,138849,2.78,3.3,-0.0484,0.3214,0.6997,1.32
_powerlaw_3.3_mink_2_p_0.8_dissort.edgelist,"Configuration model (Disassort, p=0.8)",100000,138849,2.78,3.3,-0.0436,0.3193,0.6682,1.22
_powerlaw_3.3_mink_2_p_0.7_dissort.edgelist,"Configuration model (Disassort, p=0.7)",100000,138849,2.78,3.3,-0.04,0.3078,0.687,1.39
_powerlaw_3.3_mink_2_p_0.6_dissort.edgelist,"Configuration model (Disassort, p=0.6)",100000,138849,2.78,3.3,-0.0345,0.301,0.6804,1.36
_powerlaw_3.3_mink_2_p_0.5_dissort.edgelist,"Configuration model (Disassort, p=0.5)",100000,138849,2.78,3.3,-0.0316,0.2945,0.689,1.41
_powerlaw_3.3_mink_2_p_0.4_dissort.edgelist,"Configuration model (Disassort, p=0.4)",100000,138849,2.78,3.3,-0.0213,0.2789,0.7194,1.62
_powerlaw_3.3_mink_2_p_0.3_dissort.edgelist,"Configuration model (Disassort, p=0.3)",100000,138849,2.78,3.3,-0.019,0.2714,0.6962,1.6
_powerlaw_3.3_mink_2_p_0.2_dissort.edgelist,"Configuration model (Disassort, p=0.2)",100000,138849,2.78,3.3,-0.0158,0.2688,0.6436,1.5
_powerlaw_3.3_mink_2_p_0.1_dissort.edgelist,"Configuration model (Disassort, p=0.1)",100000,138849,2.78,3.3,-0.0043,0.23,0.8707,2.48
