,name,network,N,L,<k>,gamma,r,DMP_betac,LS,alphac,Gini_eigen,Gini_nonback,CV_eigen,CV_nonback,IPV4_eigen,IPV4_nonback
0,100000_1_3.3.edgelist,Configuration model (kmin=1),100000,137836,2.76,3.3,0.0006,0.2677,0.6572,1.48,0.9840492122967337,0.6624674661314658,6.103466797811345,0.6571709822079247,0.1540284437237675,0.06403794217056913
1,100000_2_3.3.edgelist,Configuration model (kmin=2),100000,225218,4.5,3.3,-0.0013,0.1353,0.3335,0.92,0.9313542238069819,0.553536337320041,2.540668003346724,0.3334567126307869,0.2128024312919855,0.19161795681403174
2,100000_3_3.3.edgelist,Configuration model (kmin=3),100000,313560,6.27,3.3,-0.0033,0.0876,0.2255,0.72,0.8486817937064991,0.5205003557012003,1.2022527303740702,0.22552630974291507,0.19417126668726153,0.4122805963420875
3,100000_4_3.3.edgelist,Configuration model (kmin=4),100000,399294,7.99,3.3,-0.0017,0.0717,0.1468,0.45,0.6385609396821683,0.45302802547029275,0.3428682600570679,0.1468355381754129,0.03071247076932342,0.2428687643128904
4,100000_5_3.3.edgelist,Configuration model (kmin=5),100000,492157,9.84,3.3,-0.003,0.0504,0.1325,0.46,0.6715926371147914,0.47545775300294546,0.33524030192647475,0.13251629796354145,0.06973313260264466,1.205879095128556
5,100000_6_3.3.edgelist,Configuration model (kmin=6),100000,577430,11.55,3.3,-0.0025,0.0481,0.0953,0.31,0.6034678950956138,0.41537161265239,0.2867991182088446,0.0952743067497899,0.14795183739177636,0.5590238386184907
6,100000_7_3.3.edgelist,Configuration model (kmin=7),100000,660324,13.21,3.3,0.0032,0.0438,0.0781,0.25,0.4796995800824023,0.3874064424800078,0.12788834926142575,0.07809639086219199,0.018143395665982158,0.47776826778442893
7,100000_8_3.3.edgelist,Configuration model (kmin=8),100000,752652,15.05,3.3,-0.0016,0.0357,0.0728,0.26,0.5139556733746709,0.4013182301371747,0.12995257683780487,0.07279149872515273,0.03486633336652155,1.3357889550376443
8,100000_9_3.3.edgelist,Configuration model (kmin=9),100000,837560,16.75,3.3,-0.002,0.0334,0.0615,0.2,0.4840496310166953,0.38058104871159026,0.10968659102652625,0.06146935067852047,0.04466843737643859,1.177734106336939
9,_powerlaw_3.3_mink_2_p_1.0_dissort.edgelist,"Configuration model (Disassort, p=1)",100000,138849,2.78,3.3,-0.054000000000000006,0.3248,0.6789,1.3,0.9935406470422714,0.6509408525167515,7.656668719649772,0.6788839904186166,0.24146342670127197,0.08493420156924297
10,_powerlaw_3.3_mink_2_p_0.9_dissort.edgelist,"Configuration model (Disassort, p=0.9)",100000,138849,2.78,3.3,-0.0484,0.3214,0.6997,1.32,0.9931231405004084,0.651325971469371,7.439517777654701,0.6996875766017113,0.24133771620010477,0.11073312427843299
11,_powerlaw_3.3_mink_2_p_0.8_dissort.edgelist,"Configuration model (Disassort, p=0.8)",100000,138849,2.78,3.3,-0.0436,0.3193,0.6682,1.22,0.9937562472202951,0.6412772153310407,7.696386869052007,0.6682209639378548,0.2432175327738709,0.09062457197107014
12,_powerlaw_3.3_mink_2_p_0.7_dissort.edgelist,"Configuration model (Disassort, p=0.7)",100000,138849,2.78,3.3,-0.04,0.3078,0.687,1.39,0.9920530118251232,0.655034705230283,7.482435918125759,0.6869675378389518,0.24314076554066733,0.09854209377227845
