,name,Gini_eigen,Gini_nonback,CV_eigen,CV_nonback,IPV4_eigen,IPV4_nonback
59,bio-dmela,0.71437642,0.705891581,0.300385735,0.292295904,0.004734991,2.925793719
44,bio-yeast-protein-inter,0.876089885,0.73593675,1.556524411,0.91408634,0.227318475,2.233747861
11,ca-aminer,0.99377238,0.999820174,5.253762957,10.95308271,0.00391945,114.0043639
71,ca-AstroPh,0.829911931,0.827621999,0.134023912,0.131902735,0.004457891,37.18820485
42,ca-AstroPhysTechObs,0.990509175,0.991986224,1.675319406,1.728100209,0.043182763,21.00527951
1,ca-BayesianNet,0.899066049,0.896359604,0.724829622,0.715160724,0.038319407,19.03379831
8,ca-citeseer,0.998530298,0.999034373,4.959599674,5.861026281,0.010646322,84.20596148
40,ca-CondMat,0.87617285,0.871997686,0.481575873,0.465939704,0.010256944,12.55929606
43,ca-CSphd,0.954771267,0.84707755,2.670487373,1.467999498,0.251132933,2.436439922
75,ca-Data_Mining,0.746821916,0.725214849,0.418155818,0.383715178,0.040217752,6.583751869
69,ca-Database_System,0.70490318,0.697920096,0.162867659,0.15866986,0.015844536,22.53140365
15,ca-dblp-2012,0.998333367,0.998849656,5.859565924,6.639270087,0.007906562,111.2940059
33,ca-Erdos02,0.664692082,0.614152482,0.857051354,0.630300041,0.163808131,15.64681048
56,ca-Erdos992,0.811248819,0.794808306,1.139019664,1.042270048,0.024348924,4.767879444
36,ca-FluidDynamics,0.825786402,0.799532474,0.604874132,0.536749733,0.017802144,2.350010834
26,ca-GenTheoFiledParti,0.992243753,0.995438432,2.186146584,2.970169881,0.027408306,21.56394435
20,ca-GrQc,0.976654597,0.976999144,1.170484534,1.168894133,0.020895604,43.40846176
35,ca-HepPh,0.956057577,0.955989259,0.246431717,0.246271037,0.003889575,233.2076876
18,ca-Information_Fusion,0.874604947,0.861934244,0.893439739,0.843904273,0.07674749,5.227099524
63,ca-Information_Retrieval,0.830158547,0.824121333,0.492482714,0.481385334,0.034719372,21.41707927
76,ca-InterdisPhysics,0.938391838,0.93081281,0.94749168,0.863803943,0.065860637,7.951329162
16,ca-Machine_Learning,0.726822881,0.70130766,0.394025215,0.358419593,0.023227672,2.934573898
27,ca-MaterialsSci,0.978364465,0.98296731,2.31806888,2.363510726,0.050487635,15.49381051
53,ca-Math-compugeom,0.847254422,0.841012042,0.651167164,0.628084415,0.018210437,13.98021614
64,ca-MathSciNet,0.950823357,0.958739961,2.568154473,2.876852681,0.010390001,12.56339267
38,ca-MatMetPhy,0.99470892,0.995015178,3.164282961,3.1865952,0.04668967,8.603911614
10,ca-NetSci2019,0.987701255,0.987950191,0.497027854,0.501947015,0.002531274,392.2096971
45,ca-NuclearAstroPhys,0.855093938,0.855093296,0.272940027,0.274555977,0.018830489,16.70399141
21,ca-Semantic_Web,0.731850343,0.720770554,0.280301323,0.268706342,0.023421909,8.792325492
57,ca-StaPhyNonDyn,0.979999297,0.985336915,4.021763162,4.201082903,0.036227828,21.14688419
25,ca-Superconductivity,0.785143098,0.778693994,0.228660139,0.219934434,0.005629847,11.09747826
46,ca-TherProCondMat,0.866610229,0.859883449,0.402267017,0.378576744,0.021576142,5.461379966
66,ca-Web_Services,0.754925236,0.728577613,0.537108752,0.489616898,0.0510348,4.271020441
0,cit-citeseer-2014,0.946318456,0.941672065,0.794039236,0.711149071,0.016932458,23.27340245
47,cit-Database_System,0.699821986,0.694341474,0.311870546,0.313079996,0.022605674,4.275431432
7,cit-DBLP,0.768090642,0.751266681,0.306931746,0.274526708,0.028165056,19.60436377
73,cit-HepPh,0.720902406,0.720744624,0.007981172,0.007974369,0.000570017,308.9508075
60,cit-HepTh,0.740286223,0.740224339,0.008634718,0.008628486,0.000764075,591.1541158
58,cs4,0.576650003,0.57076721,0.275604884,0.270557802,0.000156679,0.002433991
