,network,N,L,<k>,DMP_betac,LS,alphac_p,alphac_r
0,_powerlaw_2.6_mink_2_assort_p1.0.edgelist,100000,197329,3.94658,0.023474914,1.413617195,3.576451503,3.19
5,_powerlaw_2.6_mink_2_assort_p0.9.edgelist,100000,197329,3.94658,0.025369099,1.303959502,3.299017539,3.11
16,_powerlaw_2.6_mink_2_assort_p0.8.edgelist,100000,197329,3.94658,0.02730864,1.20781824,3.055780148,2.86
2,_powerlaw_2.6_mink_2_assort_p0.7.edgelist,100000,197329,3.94658,0.02981324,1.102403854,2.78908175,2.76
6,_powerlaw_2.6_mink_2_assort_p0.6.edgelist,100000,197329,3.94658,0.032879721,0.99786955,2.524609961,2.6
10,_powerlaw_2.6_mink_2_assort_p0.5.edgelist,100000,197329,3.94658,0.036084409,0.906441668,2.29329742,2.48
3,_powerlaw_2.6_mink_2_assort_p0.4.edgelist,100000,197329,3.94658,0.040278687,0.812000768,2.054361943,2.24
8,_powerlaw_2.6_mink_2_assort_p0.3.edgelist,100000,197329,3.94658,0.044441969,0.735701847,1.861325674,2.08
1,_powerlaw_2.6_mink_2_assort_p0.2.edgelist,100000,197329,3.94658,0.048935181,0.671278571,1.698334785,1.96
4,_powerlaw_2.6_mink_2_assort_p0.1.edgelist,100000,197329,3.94658,0.054178094,0.609496667,1.542026566,1.8
9,_powerlaw_2.6_mink_2_dissort_p0.1.edgelist,100000,197329,3.94658,0.066103508,0.504119128,1.275421395,1.54
11,_powerlaw_2.6_mink_2_dissort_p0.2.edgelist,100000,197329,3.94658,0.068734889,0.492131908,1.245093728,1.49
12,_powerlaw_2.6_mink_2_dissort_p0.3.edgelist,100000,197329,3.94658,0.075243325,0.451659749,1.142699165,1.39
18,_powerlaw_2.6_mink_2_dissort_p0.4.edgelist,100000,197329,3.94658,0.082230383,0.414330803,1.048256931,1.33
14,_powerlaw_2.6_mink_2_dissort_p0.5.edgelist,100000,197329,3.94658,0.08793167,0.390950923,0.989105836,1.23
13,_powerlaw_2.6_mink_2_dissort_p0.6.edgelist,100000,197329,3.94658,0.093710005,0.372983241,0.9436476,1.16
17,_powerlaw_2.6_mink_2_dissort_p0.7.edgelist,100000,197329,3.94658,0.104522089,0.334084276,0.845233218,1.03
7,_powerlaw_2.6_mink_2_dissort_p0.8.edgelist,100000,197329,3.94658,0.110262929,0.322948723,0.81706027,0.99
15,_powerlaw_2.6_mink_2_dissort_p0.9.edgelist,100000,197329,3.94658,0.118506654,0.306674321,0.775886031,0.91
19,_powerlaw_2.6_mink_2_dissort_p1.0.edgelist,100000,197329,3.94658,0.124981375,0.302661209,0.76573286,0.87
