,network,N,L,<k>,DMP_betac,LS,alphac_p,alphac_r
9,Assort_p1.0_soc-advogato.edgelist,5054,39374,15.58132173,0.010900712,0.161053035,0.407464179,0.36
12,Assort_p0.9_soc-advogato.edgelist,5054,39374,15.58132173,0.011271068,0.154247352,0.390245799,0.34
16,Assort_p0.8_soc-advogato.edgelist,5054,39374,15.58132173,0.011620451,0.148233701,0.375031263,0.33
0,Assort_p0.7_soc-advogato.edgelist,5054,39374,15.58132173,0.012012264,0.141979282,0.359207583,0.32
7,Assort_p0.6_soc-advogato.edgelist,5054,39374,15.58132173,0.012254003,0.138331361,0.349978343,0.31
1,Assort_p0.5_soc-advogato.edgelist,5054,39374,15.58132173,0.012688385,0.132316525,0.334760809,0.31
10,Assort_p0.4_soc-advogato.edgelist,5054,39374,15.58132173,0.013066356,0.127440668,0.322424889,0.3
14,Assort_p0.3_soc-advogato.edgelist,5054,39374,15.58132173,0.013581018,0.121436402,0.307234097,0.29
11,Assort_p0.2_soc-advogato.edgelist,5054,39374,15.58132173,0.014048567,0.116265233,0.294151039,0.28
17,Assort_p0.1_soc-advogato.edgelist,5054,39374,15.58132173,0.014337158,0.113205995,0.286411167,0.28
19,Dissort_p0.1_soc-advogato.edgelist,5054,39374,15.58132173,0.015374274,0.103987128,0.263087434,0.25
3,Dissort_p0.2_soc-advogato.edgelist,5054,39374,15.58132173,0.015720956,0.10132475,0.256351618,0.24
5,Dissort_p0.3_soc-advogato.edgelist,5054,39374,15.58132173,0.016129548,0.098169099,0.24836782,0.24
13,Dissort_p0.4_soc-advogato.edgelist,5054,39374,15.58132173,0.01672633,0.094034088,0.237906243,0.23
4,Dissort_p0.5_soc-advogato.edgelist,5054,39374,15.58132173,0.017282369,0.090443189,0.228821268,0.22
15,Dissort_p0.6_soc-advogato.edgelist,5054,39374,15.58132173,0.017780697,0.08742764,0.22119193,0.21
2,Dissort_p0.7_soc-advogato.edgelist,5054,39374,15.58132173,0.018326038,0.084317368,0.213322942,0.2
18,Dissort_p0.8_soc-advogato.edgelist,5054,39374,15.58132173,0.019157581,0.080340098,0.203260447,0.2
6,Dissort_p0.9_soc-advogato.edgelist,5054,39374,15.58132173,0.019586614,0.078202312,0.19785185,0.19
8,Dissort_p1.0_soc-advogato.edgelist,5054,39374,15.58132173,0.020405333,0.074910397,0.189523304,0.18
