,network,N,L,<k>,DMP_betac,LS,alphac_p
14,Dissort_p1.0_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.009908204,0.036199249,0.091584099
4,Dissort_p0.8_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.009143515,0.039762972,0.100600319
5,Dissort_p0.6_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.008421128,0.043954429,0.111204706
3,Dissort_p0.4_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.007749179,0.048626648,0.123025421
9,Dissort_p0.2_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.007162995,0.053573559,0.135541104
13,Assort_p0.2_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.005898158,0.067982519,0.171995773
2,Assort_p0.4_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.00529951,0.077580099,0.196277649
1,Assort_p0.6_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.004768964,0.088394085,0.223637034
0,Assort_p0.8_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.004296155,0.100475891,0.254204005
6,Assort_p1.0_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.00386942,0.114260327,0.289078628
