,network,N,L,<k>,DMP_betac,LS,alphac_p
14,Dissort_p1.0_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.009908204,0.036199249,0.091584099
4,Dissort_p0.8_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.009143515,0.039762972,0.100600319
5,Dissort_p0.6_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.008421128,0.043954429,0.111204706
12,Dissort_p0.5_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.008070911,0.046294902,0.117126101
3,Dissort_p0.4_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.007749179,0.048626648,0.123025421
10,Dissort_p0.3_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.007435624,0.05120436,0.12954703
9,Dissort_p0.2_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.007162995,0.053573559,0.135541104
8,Dissort_p0.1_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.006869423,0.056394092,0.142677052
15,Assort_p0.1_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.006237145,0.063485789,0.160619047
13,Assort_p0.2_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.005898158,0.067982519,0.171995773
11,Assort_p0.3_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.005583633,0.072719057,0.183979214
2,Assort_p0.4_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.00529951,0.077580099,0.196277649
7,Assort_p0.5_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.005022503,0.082869077,0.209658764
1,Assort_p0.6_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.004768964,0.088394085,0.223637034
0,Assort_p0.8_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.004296155,0.100475891,0.254204005
6,Assort_p1.0_soc-fb-pages-artis.edgelist,50515,819090,32.42957537,0.00386942,0.114260327,0.289078628
