,network,N,L,<k>,DMP_betac,LS,alphac_p
9,Assort_p0.2_soc-delicious.edgelist,536108,1365961,5.095842629,0.011824459,0.802995758,2.111878844
8,Assort_p0.4_soc-delicious.edgelist,536108,1365961,5.095842629,0.010789721,0.865211773,2.275506963
7,Assort_p0.6_soc-delicious.edgelist,536108,1365961,5.095842629,0.009786442,0.94492463,2.485151777
6,Assort_p0.8_soc-delicious.edgelist,536108,1365961,5.095842629,0.008939225,1.024958487,2.695640821
3,Assort_p1.0_soc-delicious.edgelist,536108,1365961,5.095842629,0.008230606,1.106794542,2.910869645
1,Dissort_p0.2_soc-delicious.edgelist,536108,1365961,5.095842629,0.014237081,0.701482858,1.844899917
4,Dissort_p0.4_soc-delicious.edgelist,536108,1365961,5.095842629,0.015137271,0.673641646,1.771677529
2,Dissort_p0.6_soc-delicious.edgelist,536108,1365961,5.095842629,0.016335496,0.650122998,1.709823485
0,Dissort_p0.8_soc-delicious.edgelist,536108,1365961,5.095842629,0.017503086,0.631851415,1.661769221
5,Dissort_p1.0_soc-delicious.edgelist,536108,1365961,5.095842629,0.018757248,0.625006932,1.643768231
